Monster/Large/Rathian/,
Monster/Large/Fatalis/,True
Monster/Small/Kelbi/,
Monster/Small/Mosswine/,
Monster/Small/Bullfango/,
Monster/Large/YianKutKu/,
Monster/Large/LaoShanLung/,
Monster/Large/Cephadrome/,
Monster/Large/Rathalos/,
Monster/Small/Aptonoth/,
Monster/Large/Gendrome/,
Monster/Large/Diablos/,
Monster/Large/Khezu/,True
Monster/Large/Velocidrome/,
Monster/Large/Basarios/,
Monster/Small/Vespoid/,
Monster/Large/Gypceros/,
Monster/Large/Plesioth/,
Monster/Large/Gravios/,True
Monster/Small/Hornetaur/,
Monster/Small/Apceros/,
Monster/Large/Monoblos/,
Monster/Large/Iodrome/,
Monster/Large/Kirin/,True
Monster/Large/Giadrome/,
Monster/Large/CrimsonFatalis/,
Monster/Large/PinkRathian/,
Monster/Large/BlueYianKutKu/,
Monster/Large/PurpleGypceros/,
Monster/Large/YianGaruga/,
Monster/Large/SilverRathalos/,
Monster/Large/GoldRathian/,
Monster/Large/BlackDiablos/,True
Monster/Large/WhiteMonoblos/,True
Monster/Large/RedKhezu/,
Monster/Large/GreenPlesioth/,
Monster/Large/BlackGravios/,True
Monster/Large/DaimyoHermitaur/,
Monster/Large/AzureRathalos/,
Monster/Large/AshenLaoShanLung/,
Monster/Large/Blangonga/,True
Monster/Large/Congalala/,
Monster/Large/Rajang/,True
Monster/Large/KushalaDaora/,
Monster/Large/ShenGaoren/,
Monster/Large/KingShakaLaka/,
Monster/Large/YamaTsukami/,
Monster/Large/Chameleos/,
Monster/Large/RustedKushalaDaora/,
Monster/Small/Remobra/,
Monster/Large/Lunastra/,
Monster/Large/Teostra/,
Monster/Large/ShogunCeanataur/,
Monster/Large/Bulldrome/,
Monster/Small/Anteka/,
Monster/Small/Popo/,
Monster/Large/WhiteFatalis/,True
Monster/Large/Tigrex/,
Monster/Large/Akantor/,True
Monster/Large/Nargacuga/,
Monster/Large/Hypnocatrice/,
Monster/Large/Lavasioth/,
Monster/Large/EmeraldCongalala/,
Monster/Large/PlumDaimyoHermitaur/,
Monster/Large/TerraShogunCeanataur/,
Monster/Large/Ukanlos/,True
